Date,Description,Withdrawal,Deposit
01/08/2026,CHQ DEP/SANJAY IYE/CLEARING,75000.00,
01/08/2026,UPI/315962135605/Mohammed Hasan Kabir/Payment,750.08,
01/08/2026,UPI/720426286364/Karan Malhotra/Payment,45.08,
01/08/2026,UPI/342601659275/Amazo nPay/Payment,1591.32,
01/08/2026,UPI/296302151874/Sanjay Iyer/Payment,75000.00,
02/08/2026,UPI/989689563902/Arjun Singh Rathore/Payment,,320.78
02/08/2026,UPI/577497923564/Arjun Singh Rathore/Payment,45.19,
03/08/2026,UPI/298497425546/Blinkit/Payment,979.17,
04/08/2026,UPI/522739572552/Karan Malhotra/Payment,299.99,
05/08/2026,UPI/465328837561/Blinkit REFUND/Payment,,351.17
05/08/2026,UPI/673549503741/Sanjay Iyer/Payment,750.41,
05/08/2026,UPI/353867515877/Mohammed Hasan Kabir/Payment,,299.55
06/08/2026,UPI/844829864549/Mohammed Hasan Kabir/Payment,,99.40
06/08/2026,UPI/455929490116/Netflix/Payment,1114.37,
07/08/2026,UPI/232761401343/Zomato/Payment,1119.49,
07/08/2026,UPI/722776364350/Netflix/Payment,1893.46,
07/08/2026,UPI/481075427829/Arjun Singh Rathore/Payment,,2000.40
07/08/2026,UPI/346774400818/Myntra/Payment,1858.21,
07/08/2026,UPI/733079174574/Sanjay Iyer/Payment,,299.27
09/08/2026,UPI/845591121498/Zoamto/Payment,1481.23,
10/08/2026,UPI/942814175103/Divya Nair/Payment,299.51,
10/08/2026,POS/SANJAY IYE/RETAIL,3155.79,
11/08/2026,INT.PD:SAV AC,,42.50
12/08/2026,UPI/380219111779/Netflix REFUND/Payment,,1119.78
12/08/2026,UPI/866424110294/Netflix/Payment,2123.97,
12/08/2026,POS/VIKRAM OBE/RETAIL,2453.25,
12/08/2026,UPI/814054955896/Sneha Kulkarni/Payment,320.57,
13/08/2026,UPI/420678652212/Sneha Kulkarni/Payment,320.18,
13/08/2026,UPI/492240962809/Sneha Kulkarni/Payment,,2000.01
14/08/2026,POS/AYESHA SID/RETAIL,1178.43,
14/08/2026,POS/NEHA CHOPR/RETAIL,2961.87,
15/08/2026,UPI/794765013885/BigBasket/Payment,1370.27,
15/08/2026,UPI/289723236063/Amazon Pay/Payment,2194.69,
15/08/2026,POS/FATIMA SHE/RETAIL,1850.90,
15/08/2026,POS/ARJUN SING/RETAIL,1274.58,
15/08/2026,UPI/396110645852/Neha Chopra/Payment,320.34,
15/08/2026,UPI/540291159942/Rohit Verma/Payment,500.65,
17/08/2026,POS/ROHIT VERM/RETAIL,250.00,
17/08/2026,UPI/418614875889/Mohammed Hasan Kabir/Payment,,320.46
17/08/2026,POS/ROHIT VERM/RETAIL,250.00,
17/08/2026,POS/SNEHA KULK/RETAIL,250.00,
17/08/2026,UPI/279720616868/BigBasket/Payment,662.97,
17/08/2026,UPI/454089744397/Myntra/Payment,559.78,
17/08/2026,CHQ DEP/ROHIT VERM/CLEARING,100000.00,
17/08/2026,POS/SANJAY IYE/RETAIL,250.00,
17/08/2026,POS/NEHA CHOPR/RETAIL,250.00,
17/08/2026,UPI/432162621292/BigBakset/Payment,1636.77,
17/08/2026,POS/ROHIT VERM/RETAIL,250.00,
17/08/2026,POS/SNEHA KULK/RETAIL,3259.61,
17/08/2026,POS/ARJUN SING/RETAIL,250.00,
17/08/2026,UPI/449411207956/Rohit Verma/Payment,100000.00,
17/08/2026,POS/KARAN MALH/RETAIL,250.00,
18/08/2026,POS/SNEHA KULK/RETAIL,150.22,
18/08/2026,UPI/874692106935/Zomato/Payment,2914.28,
18/08/2026,UPI/329955396656/Priya Ramesh Patel/Payment,,1200.19
18/08/2026,UPI/990077837768/Sneha Kulkarni/Payment,,299.36
18/08/2026,ATM WDL/NATIONAL/BR4471,3000.00,
18/08/2026,UPI/773205785883/Divya Nair/Payment,99.11,
18/08/2026,UPI/521072509156/Mohammed Hasan Kabir/Payment,,299.84
19/08/2026,POS/AYESHA SID/RETAIL,727.03,
19/08/2026,UPI/569368628662/Vikram Oberoi/Payment,50000.00,
19/08/2026,POS/ROHIT VERM/RETAIL,250.00,
19/08/2026,POS/VIKRAM OBE/RETAIL,250.00,
19/08/2026,POS/DIVYA NAIR/RETAIL,250.00,
19/08/2026,CHQ DEP/VIKRAM OBE/CLEARING,50000.00,
19/08/2026,UPI/584900126654/BigBasket REFUND/Payment,,434.66
19/08/2026,POS/FATIMA SHE/RETAIL,250.00,
19/08/2026,UPI/338095306330/Swiggy/Payment,1834.84,
20/08/2026,POS/PRIYA RAME/RETAIL,3232.95,
20/08/2026,UPI/616636171359/Karan Malhotra/Payment,1200.14,
20/08/2026,POS/KARAN MALH/RETAIL,2275.29,
20/08/2026,POS/FATIMA SHE/RETAIL,3073.24,
21/08/2026,UPI/552666462602/Zomato REFUND/Payment,,1128.43
21/08/2026,UPI/775382340381/Sanjay Iyer/Payment,99.23,
21/08/2026,UPI/940949830485/Swiggy/Payment,624.35,
22/08/2026,UPI/387551845177/Neha Chopra/Payment,750.66,
22/08/2026,UPI/864338455642/Divya Nair/Payment,320.67,
23/08/2026,NEFT CR/SALARY/ACME CORP,,45000.00
23/08/2026,UPI/249117736569/Swiggy REFUND/Payment,,1251.39
23/08/2026,CHQ DEP CLEARING/00921,,5000.00
24/08/2026,UPI/781465847684/Fatima Sheikh/Payment,,2000.09
24/08/2026,UPI/846878837315/Ayesha Siddiqui/Payment,,500.79
24/08/2026,UPI/822787182449/Mohammed Hasan Kabir/Payment,,2000.28
25/08/2026,ANNUAL MAINT CHG+GST,590.00,
25/08/2026,UPI/365058294039/Zomaot/Payment,2334.97,
25/08/2026,POS/ROHIT VERM/RETAIL,2595.09,
25/08/2026,UPI/985159852791/Divya Nair/Payment,500.38,
26/08/2026,UPI/488502629567/Arjun Singh Rathore/Payment,,899.33
27/08/2026,UPI/785708884709/Mohammed Hasan Kabir/Payment,,150.18
27/08/2026,UPI/569571961386/Ayesha Siddiqui/Payment,,500.38
27/08/2026,UPI/871177435150/BigBasket/Payment,1392.09,
28/08/2026,UPI/517564840957/Uber/Payment,1076.21,
