source,row_id,date,time,amount,transaction_id,merchant,category,currency,payment_method,raw_description
gpay,gpay_0,2026-08-01,11:19,-45.08,720426286364,Karan Bro,,INR,UPI,Paid to Karan Bro
gpay,gpay_1,2026-08-01,20:19,-750.08,315962135605,Hasan Bhai,,INR,UPI,Paid to Hasan Bhai
gpay,gpay_2,2026-08-01,20:29,-75000.0,296302151874,Sanjay Uncle,,INR,UPI,Paid to Sanjay Uncle
gpay,gpay_3,2026-08-01,12:37,-1591.32,342601659275,Amazon Pay,,INR,UPI,Paid to Amazon Pay
gpay,gpay_4,2026-08-02,11:31,-45.19,577497923564,Arjun Gym,,INR,UPI,Paid to Arjun Gym
gpay,gpay_5,2026-08-02,10:06,320.78,989689563902,Arjun Gym,,INR,UPI,Received from Arjun Gym
gpay,gpay_6,2026-08-03,15:45,-979.17,298497425546,Blinkit,,INR,UPI,Paid to Blinkit
gpay,gpay_7,2026-08-04,13:56,-299.99,522739572552,Karan Bro,,INR,UPI,Paid to Karan Bro
gpay,gpay_8,2026-08-05,16:24,-750.41,673549503741,Sanjay Uncle,,INR,UPI,Paid to Sanjay Uncle
gpay,gpay_9,2026-08-05,12:22,299.55,353867515877,Hasan Bhai,,INR,UPI,Received from Hasan Bhai
gpay,gpay_10,2026-08-05,16:11,351.17,465328837561,Blinkit (Refund),,INR,UPI,Received from Blinkit (Refund)
gpay,gpay_11,2026-08-06,09:23,-1114.37,455929490116,Netflix,,INR,UPI,Paid to Netflix
gpay,gpay_12,2026-08-06,23:14,99.4,844829864549,Hasan Bhai,,INR,UPI,Received from Hasan Bhai
gpay,gpay_13,2026-08-07,08:42,-1119.49,232761401343,Zomato,,INR,UPI,Paid to Zomato
gpay,gpay_14,2026-08-07,16:01,-1893.46,722776364350,Netflix,,INR,UPI,Paid to Netflix
gpay,gpay_15,2026-08-07,09:35,299.27,733079174574,Sanjay Uncle,,INR,UPI,Received from Sanjay Uncle
gpay,gpay_16,2026-08-07,22:59,2000.4,481075427829,Arjun Gym,,INR,UPI,Received from Arjun Gym
gpay,gpay_17,2026-08-07,15:10,-1858.21,346774400818,Myntra,,INR,UPI,Paid to Myntra
gpay,gpay_18,2026-08-09,11:00,-1481.23,845591121498,Zomato,,INR,UPI,Paid to Zomato
gpay,gpay_19,2026-08-10,15:47,-299.51,942814175103,Divya Roomie,,INR,UPI,Paid to Divya Roomie
gpay,gpay_20,2026-08-10,15:00,-3155.79,492852849261,Sanjay Uncle,,INR,UPI,Paid to Sanjay Uncle
gpay,gpay_21,2026-08-12,19:25,-320.57,814054955896,Sneha Di,,INR,UPI,Paid to Sneha Di
gpay,gpay_22,2026-08-12,07:38,1119.78,380219111779,Netflix (Refund),,INR,UPI,Received from Netflix (Refund)
