Date,Description,Withdrawal,Deposit
01/08/2026,UPI/808117155426/Mohammed Hasan Kabir/Payment,750.59,
02/08/2026,POS/FATIMA SHE/RETAIL,680.66,
02/08/2026,UPI/617318938760/Rohit Verma/Payment,,150.99
02/08/2026,UPI/547055029070/Sneha Kulkarni/Payment,,899.27
02/08/2026,UPI/273997741524/Priya Ramesh Patel/Payment,150.86,
03/08/2026,UPI/309737811619/Vikram Oberoi/Payment,150.65,
03/08/2026,UPI/254785667210/Arjun Singh Rathore/Payment,,299.15
03/08/2026,UPI/643391824534/Fatima Sheikh/Payment,299.94,
04/08/2026,UPI/576415064723/Arjun Singh Rathore/Payment,,299.29
04/08/2026,UPI/599127439409/Sneha Kulkarni/Payment,1200.24,
04/08/2026,POS/FATIMA SHE/RETAIL,249.27,
05/08/2026,POS/AYESHA SID/RETAIL,99.88,
05/08/2026,POS/ARJUN SING/RETAIL,1500.58,
06/08/2026,CHQ DEP CLEARING/00921,,5000.00
07/08/2026,UPI/691929601508/Rohit Verma/Payment,,500.42
07/08/2026,UPI/494936156580/Arjun Singh Rathore/Payment,299.61,
08/08/2026,ATM WDL/NATIONAL/BR4471,3000.00,
09/08/2026,UPI/666461768998/Sneha Kulkarni/Payment,,750.93
09/08/2026,POS/ROHIT VERM/RETAIL,175.31,
11/08/2026,POS/VIKRAM OBE/RETAIL,175.85,
11/08/2026,POS/ARJUN SING/RETAIL,175.98,
13/08/2026,UPI/904054194082/Ayesha Siddiqui/Payment,320.22,
13/08/2026,UPI/854474071330/Vikram Oberoi/Payment,2000.53,
15/08/2026,UPI/938967038374/Ayesha Siddiqui/Payment,299.06,
15/08/2026,POS/VIKRAM OBE/RETAIL,175.30,
16/08/2026,UPI/793625626938/Fatima Sheikh/Payment,,500.72
16/08/2026,UPI/314533606906/Sneha Kulkarni/Payment,500.00,
16/08/2026,UPI/246646362417/Ayesha Siddiqui/Payment,500.00,
16/08/2026,UPI/276519237216/Arjun Singh Rathore/Payment,,320.77
16/08/2026,UPI/908302588517/Arjun Singh Rathore/Payment,2000.14,
16/08/2026,UPI/650144771997/Karan Malhotra/Payment,,750.09
16/08/2026,UPI/370722706393/Fatima Sheikh/Payment,500.00,
18/08/2026,POS/PRIYA RAME/RETAIL,3200.01,
18/08/2026,UPI/670662212985/Sneha Kulkarni/Payment,60.40,
18/08/2026,UPI/848913461122/Priya Ramesh Patel/Payment,899.03,
19/08/2026,UPI/208028583755/Ayesha Siddiqui/Payment,,500.70
20/08/2026,UPI/814294294451/Vikram Oberoi/Payment,,750.72
20/08/2026,POS/SNEHA KULK/RETAIL,99.07,
21/08/2026,UPI/226247967103/Arjun Singh Rathore/Payment,1200.24,
21/08/2026,UPI/682640166001/Sneha Kulkarni/Payment,320.45,
22/08/2026,POS/PRIYA RAME/RETAIL,680.32,
23/08/2026,UPI/928236479796/Rohit Verma/Payment,2000.15,
24/08/2026,UPI/754818085172/Rohit Verma/Payment,299.87,
24/08/2026,UPI/266753220112/Fatima Sheikh/Payment,,45.06
25/08/2026,UPI/461343158181/Divya Nair/Payment,500.41,
25/08/2026,UPI/617045625552/Ayesha Siddiqui/Payment,1200.45,
25/08/2026,UPI/313114812281/Ayesha Siddiqui/Payment,,299.38
25/08/2026,UPI/793399334677/Fatima Sheikh/Payment,,320.92
26/08/2026,UPI/999050535267/Karan Malhotra/Payment,2000.54,
26/08/2026,ANNUAL MAINT CHG+GST,590.00,
27/08/2026,UPI/881304820142/Priya Ramesh Patel/Payment,45.58,
27/08/2026,POS/ARJUN SING/RETAIL,175.10,
28/08/2026,POS/ROHIT VERM/RETAIL,175.42,
28/08/2026,UPI/374079861243/Priya Ramesh Patel/Payment,150.96,
28/08/2026,INT.PD:SAV AC,,42.50
