Date,Time,Description,Transaction ID,Amount
"Aug 01, 2026",7:40 PM,Paid to Hasan Bhai,808117155426,-750.59
"Aug 02, 2026",12:27 PM,Received from Rohit Office,617318938760,+150.99
"Aug 02, 2026",12:42 PM,Paid to Priya,273997741524,-150.86
"Aug 02, 2026",11:41 AM,Received from Sneha Di,547055029070,+899.27
"Aug 02, 2026",4:20 PM,Paid to Fatima,288559569253,-680.66
"Aug 03, 2026",5:38 PM,Paid to Fatima,643391824534,-299.94
"Aug 03, 2026",9:59 AM,Paid to Vikram Landlord,309737811619,-150.65
"Aug 03, 2026",5:04 PM,Received from Arjun Gym,254785667210,+299.15
"Aug 04, 2026",8:46 AM,Received from Arjun Gym,576415064723,+299.29
"Aug 04, 2026",9:46 AM,Paid to Sneha Di,599127439409,-1200.24
"Aug 04, 2026",11:45 AM,Paid to Fatima,808779044123,-249.27
"Aug 05, 2026",12:10 PM,Paid to Ayesha,586260407870,-99.88
"Aug 05, 2026",2:08 PM,Paid to Arjun Gym,240997998139,-1500.58
"Aug 07, 2026",11:55 AM,Received from Rohit Office,691929601508,+500.42
"Aug 07, 2026",10:29 AM,Paid to Arjun Gym,494936156580,-299.61
"Aug 09, 2026",2:08 PM,Paid to Rohit Office,935316694200,-175.31
"Aug 09, 2026",2:42 PM,Received from Sneha Di,666461768998,+750.93
"Aug 11, 2026",3:16 PM,Paid to Vikram Landlord,952493720587,-175.85
"Aug 11, 2026",7:28 PM,Paid to Arjun Gym,345045852621,-175.98
"Aug 13, 2026",11:52 AM,Paid to Ayesha,904054194082,-320.22
"Aug 13, 2026",6:46 PM,Paid to Vikram Landlord,854474071330,-2000.53
"Aug 15, 2026",8:42 AM,Paid to Vikram Landlord,800581361458,-175.30
"Aug 15, 2026",11:12 AM,Paid to Ayesha,938967038374,-299.06
"Aug 16, 2026",1:49 PM,Paid to Sneha Di,948226581356,-500.00
"Aug 16, 2026",10:59 PM,Paid to Fatima,650433461315,-500.00
"Aug 16, 2026",7:35 PM,Paid to Arjun Gym,908302588517,-2000.14
"Aug 16, 2026",11:50 AM,Received from Fatima,793625626938,+500.72
"Aug 16, 2026",10:22 PM,Paid to Ayesha,535187102686,-500.00
"Aug 16, 2026",2:26 PM,Received from Karan Bro,650144771997,+750.09
"Aug 16, 2026",4:10 PM,Received from Arjun Gym,276519237216,+320.77
"Aug 18, 2026",11:32 AM,Paid to Priya,848913461122,-899.03
"Aug 18, 2026",4:31 PM,Paid to Sneha Di,670662212985,-60.40
"Aug 18, 2026",10:44 PM,Paid to Priya,671182253884,-3200.01
"Aug 19, 2026",10:13 AM,Received from Ayesha,208028583755,+500.70
"Aug 20, 2026",4:16 PM,Paid to Sneha Di,822763619778,-99.07
"Aug 20, 2026",11:28 AM,Received from Vikram Landlord,814294294451,+750.72
"Aug 21, 2026",9:21 AM,Paid to Sneha Di,682640166001,-320.45
"Aug 21, 2026",6:47 PM,Paid to Arjun Gym,226247967103,-1200.24
"Aug 22, 2026",8:29 AM,Paid to Priya,529189919272,-680.32
"Aug 22, 2026",1:19 PM,Paid to Netflix,442539766821,-220.82
"Aug 23, 2026",8:59 PM,Paid to Local Kirana Store,654757219856,-220.18
"Aug 23, 2026",8:37 AM,Paid to Rohit Office,928236479796,-2000.15
"Aug 24, 2026",10:23 AM,Paid to Rohit Office,754818085172,-299.87
"Aug 24, 2026",4:58 PM,Received from Fatima,266753220112,+45.06
"Aug 25, 2026",1:22 PM,Paid to Ayesha,617045625552,-1200.45
"Aug 25, 2026",5:16 PM,Received from Ayesha,313114812281,+299.38
"Aug 25, 2026",3:01 PM,Received from Fatima,793399334677,+320.92
"Aug 25, 2026",9:25 PM,Paid to Divya Roomie,461343158181,-500.41
"Aug 26, 2026",4:18 PM,Paid to Karan Bro,999050535267,-2000.54
"Aug 27, 2026",12:07 PM,Paid to Arjun Gym,528799513174,-175.10
"Aug 27, 2026",6:14 PM,Paid to Priya,881304820142,-45.58
"Aug 27, 2026",10:50 AM,Paid to Blinkit,937884981282,-1499.81
"Aug 28, 2026",9:38 AM,Paid to Priya,374079861243,-150.96
"Aug 28, 2026",8:00 AM,Paid to Rohit Office,299002427407,-175.42
