source,row_id,date,time,amount,transaction_id,merchant,category,currency,payment_method,raw_description
bank,bank_0,2026-08-01,,-75000.0,,Cheque Clearing,,INR,,CHQ DEP/SANJAY IYE/CLEARING
bank,bank_1,2026-08-01,,-750.08,315962135605,Mohammed Hasan Kabir,,INR,,UPI/315962135605/Mohammed Hasan Kabir/Payment
bank,bank_2,2026-08-01,,-45.08,720426286364,Karan Malhotra,,INR,,UPI/720426286364/Karan Malhotra/Payment
bank,bank_3,2026-08-01,,-1591.32,342601659275,Amazo nPay,,INR,,UPI/342601659275/Amazo nPay/Payment
bank,bank_4,2026-08-01,,-75000.0,296302151874,Sanjay Iyer,,INR,,UPI/296302151874/Sanjay Iyer/Payment
bank,bank_5,2026-08-02,,320.78,989689563902,Arjun Singh Rathore,,INR,,UPI/989689563902/Arjun Singh Rathore/Payment
bank,bank_6,2026-08-02,,-45.19,577497923564,Arjun Singh Rathore,,INR,,UPI/577497923564/Arjun Singh Rathore/Payment
bank,bank_7,2026-08-03,,-979.17,298497425546,Blinkit,,INR,,UPI/298497425546/Blinkit/Payment
bank,bank_8,2026-08-04,,-299.99,522739572552,Karan Malhotra,,INR,,UPI/522739572552/Karan Malhotra/Payment
bank,bank_9,2026-08-05,,351.17,465328837561,Blinkit REFUND,,INR,,UPI/465328837561/Blinkit REFUND/Payment
bank,bank_10,2026-08-05,,-750.41,673549503741,Sanjay Iyer,,INR,,UPI/673549503741/Sanjay Iyer/Payment
bank,bank_11,2026-08-05,,299.55,353867515877,Mohammed Hasan Kabir,,INR,,UPI/353867515877/Mohammed Hasan Kabir/Payment
bank,bank_12,2026-08-06,,99.4,844829864549,Mohammed Hasan Kabir,,INR,,UPI/844829864549/Mohammed Hasan Kabir/Payment
bank,bank_13,2026-08-06,,-1114.37,455929490116,Netflix,,INR,,UPI/455929490116/Netflix/Payment
bank,bank_14,2026-08-07,,-1119.49,232761401343,Zomato,,INR,,UPI/232761401343/Zomato/Payment
bank,bank_15,2026-08-07,,-1893.46,722776364350,Netflix,,INR,,UPI/722776364350/Netflix/Payment
bank,bank_16,2026-08-07,,2000.4,481075427829,Arjun Singh Rathore,,INR,,UPI/481075427829/Arjun Singh Rathore/Payment
bank,bank_17,2026-08-07,,-1858.21,346774400818,Myntra,,INR,,UPI/346774400818/Myntra/Payment
bank,bank_18,2026-08-07,,299.27,733079174574,Sanjay Iyer,,INR,,UPI/733079174574/Sanjay Iyer/Payment
bank,bank_19,2026-08-09,,-1481.23,845591121498,Zoamto,,INR,,UPI/845591121498/Zoamto/Payment
bank,bank_20,2026-08-10,,-299.51,942814175103,Divya Nair,,INR,,UPI/942814175103/Divya Nair/Payment
bank,bank_21,2026-08-10,,-3155.79,,SANJAY IYE,,INR,,POS/SANJAY IYE/RETAIL
bank,bank_22,2026-08-11,,42.5,,,,INR,,INT.PD:SAV AC
bank,bank_23,2026-08-12,,1119.78,380219111779,Netflix REFUND,,INR,,UPI/380219111779/Netflix REFUND/Payment
bank,bank_24,2026-08-12,,-2123.97,866424110294,Netflix,,INR,,UPI/866424110294/Netflix/Payment
bank,bank_25,2026-08-12,,-2453.25,,VIKRAM OBE,,INR,,POS/VIKRAM OBE/RETAIL
bank,bank_26,2026-08-12,,-320.57,814054955896,Sneha Kulkarni,,INR,,UPI/814054955896/Sneha Kulkarni/Payment
bank,bank_27,2026-08-13,,-320.18,420678652212,Sneha Kulkarni,,INR,,UPI/420678652212/Sneha Kulkarni/Payment
bank,bank_28,2026-08-13,,2000.01,492240962809,Sneha Kulkarni,,INR,,UPI/492240962809/Sneha Kulkarni/Payment
bank,bank_29,2026-08-14,,-1178.43,,AYESHA SID,,INR,,POS/AYESHA SID/RETAIL
bank,bank_30,2026-08-14,,-2961.87,,NEHA CHOPR,,INR,,POS/NEHA CHOPR/RETAIL
bank,bank_31,2026-08-15,,-1370.27,794765013885,BigBasket,,INR,,UPI/794765013885/BigBasket/Payment
bank,bank_32,2026-08-15,,-2194.69,289723236063,Amazon Pay,,INR,,UPI/289723236063/Amazon Pay/Payment
