Date,Description,Withdrawal,Deposit,Category,Currency
01/08/2026,UPI/476122730029/Local Kirana Store/Payment,208.26,,Groceries,INR
01/08/2026,UPI/703754948409/Divya Nair/Payment,,150.82,Shopping,INR
01/08/2026,UPI/562428000186/Vikram Oberoi/Payment,2000.62,,Personal Transfer,INR
02/08/2026,POS/MOHAMMED H/RETAIL,2821.52,,Food,INR
02/08/2026,POS/DIVYA NAIR/RETAIL,685.16,,Transport,INR
02/08/2026,UPI/822026593455/Sanjay Iyer/Payment,150.95,,Rent Split,INR
02/08/2026,UPI/518399561389/Priya Ramesh Patel/Payment,,45.14,Rent Split,INR
02/08/2026,NEFT CR/SALARY/ACME CORP,,45000.00,Salary,INR
02/08/2026,UPI/356079182669/Blinkit/Payment,595.59,,Groceries,INR
03/08/2026,UPI/516469066999/Sanjay Iyer/Payment,89.05,,Bill Payment,INR
03/08/2026,UPI/690340809498/Manoj Kumar Yadav/Payment,,45.55,Bill Payment,INR
03/08/2026,UPI/936612415868/Neha Chopra/Payment,750.60,,Shopping,INR
03/08/2026,UPI/497493333287/Arjun Singh Rathore/Payment,99.91,,Shopping,INR
03/08/2026,UPI/813169162910/Deepika Reddy/Payment,,320.79,Shopping,INR
03/08/2026,UPI/431388495671/Sanjay Iyer/Payment,,320.38,Shopping,INR
03/08/2026,POS/ROHIT VERM/RETAIL,1219.79,,Food,INR
03/08/2026,UPI/574412464460/Uber/Payment,272.27,,Transport,INR
03/08/2026,UPI/374911678402/Mohammed Hasan Kabir/Payment,,299.99,Bill Payment,INR
03/08/2026,UPI/528884645551/Ayesha Siddiqui/Payment,,2000.50,Food,INR
04/08/2026,UPI/715300826019/Priya Ramesh Patel/Payment,899.48,,Bill Payment,INR
04/08/2026,POS/DIVYA NAIR/RETAIL,3460.09,,Shopping,INR
04/08/2026,UPI/716370370940/Divya Nair/Payment,500.34,,Rent Split,INR
04/08/2026,UPI/378186428250/Arjun Singh Rathore/Payment,,60.83,Food,INR
04/08/2026,POS/AYESHA SID/RETAIL,3264.00,,Shopping,INR
05/08/2026,UPI/597873400285/Divya Nair/Payment,150.38,,Rent Split,INR
05/08/2026,UPI/408642127159/Electricity Board BESCOM/Payment,1129.13,,Utilities,INR
06/08/2026,UPI/574134293241/Mohammed Hasan Kabir/Payment,320.05,,Rent Split,INR
06/08/2026,UPI/423527993212/Blinkit REFUND/Payment,,353.12,Groceries,INR
06/08/2026,UPI/888534764524/Sneha Kulkarni/Payment,,750.53,Shopping,INR
06/08/2026,UPI/579119006758/Rohit Verma/Payment,89.02,,Personal Transfer,INR
07/08/2026,UPI/864399322660/Manoj Kumar Yadav/Payment,,1200.45,Shopping,INR
07/08/2026,UPI/285599444448/Spotify/Payment,944.40,,Entertainment,INR
07/08/2026,UPI/549423999861/Mohammed Hasan Kabir/Payment,,150.72,Shopping,INR
07/08/2026,ANNUAL MAINT CHG+GST,590.00,,Bank Charges,INR
08/08/2026,UPI/319327536739/BigBasket/Payment,427.38,,Groceries,INR
08/08/2026,UPI/298805510187/Arjun Singh Rathore/Payment,750.82,,Food,INR
09/08/2026,UPI/285079946846/Neha Chopra/Payment,4500.27,,Bill Payment,INR
09/08/2026,UPI/386850246100/Manoj Kumar Yadav/Payment,500.00,,Personal Transfer,INR
09/08/2026,UPI/942911269292/Sanjay Iyer/Payment,,150.69,Food,INR
09/08/2026,UPI/201914802140/Ayesha Siddiqui/Payment,,750.36,Rent Split,INR
09/08/2026,UPI/270121087425/Electricity Board BESCOM REFUND/Payment,,449.82,Utilities,INR
09/08/2026,UPI/754470593937/Imran Ali Khan/Payment,,899.56,Personal Transfer,INR
09/08/2026,UPI/704077664685/Karan Malhotra/Payment,500.00,,Personal Transfer,INR
09/08/2026,UPI/904986655669/Vikram Oberoi/Payment,500.00,,Personal Transfer,INR
10/08/2026,UPI/764239461355/Spotify REFUND/Payment,,511.13,Entertainment,INR
10/08/2026,UPI/480451794684/Practo/Payment,1859.66,,Healthcare,INR
10/08/2026,UPI/823970258506/Blinkit/Payment,2345.17,,Groceries,INR
10/08/2026,UPI/456107482013/Vikram Oberoi/Payment,,150.59,Bill Payment,INR
10/08/2026,UPI/439177029563/Deepika Reddy/Payment,,500.34,Bill Payment,INR
11/08/2026,UPI/367279807972/Priya Ramesh Patel/Payment,45.65,,Rent Split,INR
11/08/2026,UPI/610935254212/Blinkit/Payment,694.84,,Groceries,INR
12/08/2026,UPI/545212747285/Swiggy/Payment,2108.41,,Food & Dining,INR
13/08/2026,UPI/789052050014/Divya Nair/Payment,275.51,,Shopping,INR
13/08/2026,UPI/531560057967/Karan Malhotra/Payment,250.00,,Personal Transfer,INR
13/08/2026,UPI/545670721108/Manoj Kumar Yadav/Payment,250.00,,Personal Transfer,INR
13/08/2026,UPI/881664182120/Karan Malhotra/Payment,250.00,,Personal Transfer,INR
