Date,Time,Description,Transaction ID,Amount,Merchant,Notes,Payment Method
"Aug 01, 2026",1:58 PM,Received from Divya Roomie,703754948409,+150.82,Divya Roomie,,UPI
"Aug 01, 2026",9:23 AM,Paid to Local Kirana Store,476122730029,-208.26,Local Kirana Store,,UPI
"Aug 01, 2026",2:56 PM,Paid to Vikram Landlord,562428000186,-2000.62,Vikram Landlord,,UPI
"Aug 02, 2026",7:03 PM,Paid to Sanjay Uncle,822026593455,-150.95,Sanjay Uncle,,UPI
"Aug 02, 2026",1:52 PM,Paid to Blinkit,356079182669,-595.59,Blinkit,,UPI
"Aug 02, 2026",5:46 PM,Paid to Divya Roomie,267473328883,-685.16,Divya Roomie,,Card
"Aug 02, 2026",12:06 PM,Received from Priya,518399561389,+45.14,Priya,,UPI
"Aug 02, 2026",1:47 PM,Paid to Hasan Bhai,270712558963,-2821.52,Hasan Bhai,,Card
"Aug 03, 2026",8:54 PM,Paid to Arjun Gym,497493333287,-99.91,Arjun Gym,,GPay Balance
"Aug 03, 2026",6:30 PM,Received from Sanjay Uncle,431388495671,+320.38,Sanjay Uncle,,UPI
"Aug 03, 2026",11:21 AM,Paid to Sanjay Uncle,516469066999,-89.05,Sanjay Uncle,,GPay Balance
"Aug 03, 2026",9:11 PM,Paid to Neha,936612415868,-750.60,Neha,,UPI
"Aug 03, 2026",3:51 PM,Paid to Uber,574412464460,-272.27,Uber,,UPI
"Aug 03, 2026",6:38 PM,Received from Deepika Cousin,813169162910,+320.79,Deepika Cousin,,UPI
"Aug 03, 2026",8:16 AM,Paid to Rohit Office,869579181433,-1219.79,Rohit Office,,Card
"Aug 03, 2026",9:07 AM,Received from Ayesha,528884645551,+2000.50,Ayesha,,UPI
"Aug 03, 2026",11:39 AM,Received from Hasan Bhai,374911678402,+299.99,Hasan Bhai,,UPI
"Aug 03, 2026",3:45 PM,Received from Manoj,690340809498,+45.55,Manoj,,UPI
"Aug 04, 2026",5:47 PM,Paid to Priya,715300826019,-899.48,Priya,,GPay Balance
"Aug 04, 2026",2:08 PM,Paid to Divya Roomie,747269286719,-3460.09,Divya Roomie,,Card
"Aug 04, 2026",12:41 PM,Paid to Ayesha,290183703839,-3264.00,Ayesha,,Card
"Aug 04, 2026",10:58 PM,Paid to Divya Roomie,716370370940,-500.34,Divya Roomie,,GPay Balance
"Aug 04, 2026",5:26 PM,Received from Arjun Gym,378186428250,+60.83,Arjun Gym,,UPI
"Aug 05, 2026",11:14 PM,Paid to Electricity Board BESCOM,408642127159,-1129.13,Electricity Board BESCOM,,UPI
"Aug 05, 2026",7:40 AM,Paid to Divya Roomie,597873400285,-150.38,Divya Roomie,,UPI
"Aug 06, 2026",10:23 AM,Paid to Hasan Bhai,574134293241,-320.05,Hasan Bhai,,UPI
"Aug 06, 2026",7:52 AM,Received from Blinkit (Refund),423527993212,+353.12,Blinkit,Partial refund for order,UPI
"Aug 06, 2026",7:46 AM,Paid to Rohit Office,579119006758,-89.02,Rohit Office,,UPI
"Aug 06, 2026",11:43 PM,Received from Sneha Di,888534764524,+750.53,Sneha Di,,UPI
"Aug 07, 2026",9:14 AM,Received from Manoj,864399322660,+1200.45,Manoj,,UPI
"Aug 07, 2026",9:45 PM,Received from Hasan Bhai,549423999861,+150.72,Hasan Bhai,,UPI
"Aug 07, 2026",7:06 AM,Paid to Spotify,285599444448,-944.40,Spotify,,UPI
"Aug 08, 2026",10:52 AM,Paid to BigBasket,319327536739,-427.38,BigBasket,,UPI
"Aug 08, 2026",7:01 PM,Paid to Arjun Gym,298805510187,-750.82,Arjun Gym,,GPay Balance
"Aug 09, 2026",5:39 PM,Received from Imran,754470593937,+899.56,Imran,,UPI
"Aug 09, 2026",10:41 AM,Received from Electricity Board BESCOM (Refund),270121087425,+449.82,Electricity Board BESCOM,Partial refund for order,UPI
"Aug 09, 2026",12:08 PM,Paid to Karan Bro,302307704062,-500.00,Karan Bro,,UPI
"Aug 09, 2026",2:02 PM,Received from Ayesha,201914802140,+750.36,Ayesha,,UPI
"Aug 09, 2026",11:22 AM,Paid to Manoj,885360234397,-500.00,Manoj,,UPI
"Aug 09, 2026",9:31 PM,Paid to Neha,285079946846,-4500.27,Neha,,GPay Balance
"Aug 09, 2026",11:18 PM,Received from Sanjay Uncle,942911269292,+150.69,Sanjay Uncle,,UPI
"Aug 09, 2026",7:05 PM,Paid to Vikram Landlord,255898288027,-500.00,Vikram Landlord,,UPI
"Aug 10, 2026",7:41 PM,Paid to Practo,480451794684,-1859.66,Practo,,UPI
"Aug 10, 2026",2:11 PM,Paid to Blinkit,823970258506,-2345.17,Blinkit,,UPI
"Aug 10, 2026",5:46 PM,Received from Vikram Landlord,456107482013,+150.59,Vikram Landlord,,UPI
"Aug 10, 2026",6:13 PM,Received from Spotify (Refund),764239461355,+511.13,Spotify,Partial refund for order,UPI
"Aug 10, 2026",6:03 PM,Received from Deepika Cousin,439177029563,+500.34,Deepika Cousin,,UPI
"Aug 11, 2026",10:35 PM,Paid to Blinkit,610935254212,-694.84,Blinkit,,UPI
"Aug 11, 2026",6:37 PM,Paid to Priya,367279807972,-45.65,Priya,,UPI
"Aug 12, 2026",7:07 PM,Paid to Swiggy,545212747285,-2108.41,Swiggy,Order #4207,UPI
"Aug 13, 2026",12:40 PM,Paid to Karan Bro,899762562426,-250.00,Karan Bro,,UPI
"Aug 13, 2026",11:53 AM,Paid to Karan Bro,316252295317,-250.00,Karan Bro,,UPI
"Aug 13, 2026",1:02 PM,Paid to Karan Bro,879558637995,-250.00,Karan Bro,,UPI
"Aug 13, 2026",8:38 AM,Paid to Manoj,251295119603,-250.00,Manoj,,UPI
"Aug 13, 2026",11:15 AM,Paid to Karan Bro,374023023275,-250.00,Karan Bro,,UPI
"Aug 13, 2026",7:19 PM,Paid to Zomato,371905354805,-2377.35,Zomato,,UPI
"Aug 13, 2026",7:08 AM,Paid to Netflix,910386547652,-1107.43,Netflix,,UPI
"Aug 13, 2026",9:13 AM,Paid to Karan Bro,631210330628,-150.48,Karan Bro,,GPay Balance
"Aug 13, 2026",3:03 PM,Paid to Divya Roomie,789052050014,-275.51,Divya Roomie,,UPI
"Aug 14, 2026",5:10 PM,Paid to Vikram Landlord,913242597367,-166.83,Vikram Landlord,,Card
"Aug 14, 2026",9:13 AM,Paid to Rohit Office,315463644326,-3457.99,Rohit Office,,Card
"Aug 14, 2026",9:38 AM,Received from Sanjay Uncle,281154632032,+750.94,Sanjay Uncle,,UPI
"Aug 14, 2026",10:49 AM,Paid to Sneha Di,880584485277,-3124.86,Sneha Di,,Card
"Aug 14, 2026",7:47 PM,Received from Neha,899174012831,+1200.09,Neha,,UPI
"Aug 14, 2026",9:57 PM,Paid to Arjun Gym,606022976513,-320.57,Arjun Gym,,GPay Balance
"Aug 14, 2026",12:09 PM,Paid to Sneha Di,595078867786,-60.88,Sneha Di,,UPI
"Aug 14, 2026",2:15 PM,Received from Blinkit (Refund),609171509327,+890.40,Blinkit,Partial refund for order,UPI
"Aug 15, 2026",4:14 PM,Paid to Spotify,204734481719,-1620.74,Spotify,,UPI
"Aug 15, 2026",10:57 AM,Received from Priya,278666534228,+60.24,Priya,,UPI
"Aug 15, 2026",6:26 PM,Paid to Rohit Office,316691087223,-59.90,Rohit Office,,Card
"Aug 15, 2026",10:39 PM,Paid to Airtel Postpaid,488713898465,-2228.76,Airtel Postpaid,,UPI
"Aug 15, 2026",4:05 PM,Paid to Manoj,713102123210,-89.12,Manoj,,GPay Balance
"Aug 16, 2026",8:59 PM,Paid to Myntra,942534770374,-1078.46,Myntra,,UPI
"Aug 16, 2026",9:13 AM,Paid to Electricity Board BESCOM,936833086088,-342.49,Electricity Board BESCOM,,UPI
"Aug 16, 2026",11:04 PM,Paid to Neha,201132981883,-899.80,Neha,,GPay Balance
"Aug 16, 2026",8:46 AM,Paid to Rohit Office,274973831018,-4500.09,Rohit Office,,GPay Balance
"Aug 16, 2026",11:08 PM,Received from Arjun Gym,509879584664,+1750.62,Arjun Gym,,UPI
"Aug 16, 2026",10:08 PM,Paid to Manoj,624241221538,-2774.81,Manoj,,Card
"Aug 16, 2026",11:44 AM,Received from Sneha Di,963769118139,+299.52,Sneha Di,,UPI
"Aug 16, 2026",10:04 PM,Received from Blinkit (Refund),879400024910,+217.20,Blinkit,Partial refund for order,UPI
"Aug 16, 2026",1:05 PM,Paid to Local Kirana Store,832552116141,-357.52,Local Kirana Store,,UPI
"Aug 16, 2026",1:01 PM,Paid to Ola,262986959215,-407.78,Ola,,UPI
"Aug 16, 2026",7:12 PM,Paid to Local Kirana Store,964650626009,-1809.63,Local Kirana Store,,UPI
"Aug 17, 2026",7:51 AM,Paid to Airtel Postpaid,407513927802,-964.08,Airtel Postpaid,Order #7554,UPI
"Aug 17, 2026",6:57 PM,Paid to Deepika Cousin,559001014029,-750.54,Deepika Cousin,,GPay Balance
"Aug 17, 2026",4:42 PM,Paid to Neha,634494737158,-250.00,Neha,,UPI
"Aug 17, 2026",8:42 AM,Received from Manoj,382184450280,+89.34,Manoj,,UPI
"Aug 17, 2026",4:03 PM,Paid to BigBasket,802303742741,-120.77,BigBasket,,UPI
"Aug 17, 2026",3:13 PM,Paid to Deepika Cousin,677339447176,-4500.19,Deepika Cousin,,GPay Balance
"Aug 17, 2026",9:41 AM,Paid to Arjun Gym,804147393263,-250.00,Arjun Gym,,UPI
"Aug 17, 2026",10:03 AM,Received from Spotify (Refund),456921089803,+728.60,Spotify,Partial refund for order,UPI
"Aug 17, 2026",7:27 AM,Paid to Sneha Di,905937065638,-250.00,Sneha Di,,UPI
"Aug 17, 2026",8:01 PM,Paid to Hasan Bhai,656587647104,-250.00,Hasan Bhai,,UPI
"Aug 17, 2026",11:15 PM,Received from Divya Roomie,765244057280,+500.69,Divya Roomie,,UPI
"Aug 17, 2026",7:32 PM,Received from Sanjay Uncle,468327053776,+275.45,Sanjay Uncle,,UPI
"Aug 18, 2026",9:39 PM,Paid to Swiggy,991147732615,-170.27,Swiggy,Order #3270,UPI
"Aug 18, 2026",5:49 PM,Received from Customer Payment,344467396962,+374.02,Gateway Settlement,Pending settlement,UPI
"Aug 18, 2026",11:57 PM,Received from Customer Payment,761439814870,+371.97,Gateway Settlement,Pending settlement,UPI
"Aug 18, 2026",10:01 PM,Paid to Ayesha,693575521732,-715.94,Ayesha,,Card
"Aug 18, 2026",8:02 AM,Received from Customer Payment,755949015557,+759.15,Gateway Settlement,Pending settlement,UPI
"Aug 18, 2026",11:23 PM,Received from Sanjay Uncle,229696030019,+89.53,Sanjay Uncle,,UPI
"Aug 18, 2026",4:08 PM,Paid to Zomato,246286268218,-1966.41,Zomato,Order #5125,UPI
"Aug 18, 2026",8:15 AM,Paid to Vikram Landlord,556747522506,-60.52,Vikram Landlord,,UPI
"Aug 18, 2026",11:35 AM,Paid to Local Kirana Store,694866240317,-2491.36,Local Kirana Store,,UPI
"Aug 19, 2026",1:31 PM,Paid to Vikram Landlord,902532973417,-500.37,Vikram Landlord,,GPay Balance
"Aug 20, 2026",7:25 PM,Paid to Rohit Office,741668801912,-99.22,Rohit Office,,GPay Balance
