source,row_id,date,time,amount,transaction_id,merchant,category,currency,payment_method,raw_description
bank,bank_0,2026-08-01,,-208.26,476122730029,Local Kirana Store,Groceries,INR,,UPI/476122730029/Local Kirana Store/Payment
bank,bank_1,2026-08-01,,150.82,703754948409,Divya Nair,Shopping,INR,,UPI/703754948409/Divya Nair/Payment
bank,bank_2,2026-08-01,,-2000.62,562428000186,Vikram Oberoi,Personal Transfer,INR,,UPI/562428000186/Vikram Oberoi/Payment
bank,bank_3,2026-08-02,,-2821.52,,MOHAMMED H,Food,INR,,POS/MOHAMMED H/RETAIL
bank,bank_4,2026-08-02,,-685.16,,DIVYA NAIR,Transport,INR,,POS/DIVYA NAIR/RETAIL
bank,bank_5,2026-08-02,,-150.95,822026593455,Sanjay Iyer,Rent Split,INR,,UPI/822026593455/Sanjay Iyer/Payment
bank,bank_6,2026-08-02,,45.14,518399561389,Priya Ramesh Patel,Rent Split,INR,,UPI/518399561389/Priya Ramesh Patel/Payment
bank,bank_7,2026-08-02,,45000.0,,ACME CORP,Salary,INR,,NEFT CR/SALARY/ACME CORP
bank,bank_8,2026-08-02,,-595.59,356079182669,Blinkit,Groceries,INR,,UPI/356079182669/Blinkit/Payment
bank,bank_9,2026-08-03,,-89.05,516469066999,Sanjay Iyer,Bill Payment,INR,,UPI/516469066999/Sanjay Iyer/Payment
bank,bank_10,2026-08-03,,45.55,690340809498,Manoj Kumar Yadav,Bill Payment,INR,,UPI/690340809498/Manoj Kumar Yadav/Payment
bank,bank_11,2026-08-03,,-750.6,936612415868,Neha Chopra,Shopping,INR,,UPI/936612415868/Neha Chopra/Payment
bank,bank_12,2026-08-03,,-99.91,497493333287,Arjun Singh Rathore,Shopping,INR,,UPI/497493333287/Arjun Singh Rathore/Payment
bank,bank_13,2026-08-03,,320.79,813169162910,Deepika Reddy,Shopping,INR,,UPI/813169162910/Deepika Reddy/Payment
bank,bank_14,2026-08-03,,320.38,431388495671,Sanjay Iyer,Shopping,INR,,UPI/431388495671/Sanjay Iyer/Payment
bank,bank_15,2026-08-03,,-1219.79,,ROHIT VERM,Food,INR,,POS/ROHIT VERM/RETAIL
bank,bank_16,2026-08-03,,-272.27,574412464460,Uber,Transport,INR,,UPI/574412464460/Uber/Payment
bank,bank_17,2026-08-03,,299.99,374911678402,Mohammed Hasan Kabir,Bill Payment,INR,,UPI/374911678402/Mohammed Hasan Kabir/Payment
bank,bank_18,2026-08-03,,2000.5,528884645551,Ayesha Siddiqui,Food,INR,,UPI/528884645551/Ayesha Siddiqui/Payment
bank,bank_19,2026-08-04,,-899.48,715300826019,Priya Ramesh Patel,Bill Payment,INR,,UPI/715300826019/Priya Ramesh Patel/Payment
bank,bank_20,2026-08-04,,-3460.09,,DIVYA NAIR,Shopping,INR,,POS/DIVYA NAIR/RETAIL
bank,bank_21,2026-08-04,,-500.34,716370370940,Divya Nair,Rent Split,INR,,UPI/716370370940/Divya Nair/Payment
bank,bank_22,2026-08-04,,60.83,378186428250,Arjun Singh Rathore,Food,INR,,UPI/378186428250/Arjun Singh Rathore/Payment
bank,bank_23,2026-08-04,,-3264.0,,AYESHA SID,Shopping,INR,,POS/AYESHA SID/RETAIL
bank,bank_24,2026-08-05,,-150.38,597873400285,Divya Nair,Rent Split,INR,,UPI/597873400285/Divya Nair/Payment
bank,bank_25,2026-08-05,,-1129.13,408642127159,Electricity Board BESCOM,Utilities,INR,,UPI/408642127159/Electricity Board BESCOM/Payment
bank,bank_26,2026-08-06,,-320.05,574134293241,Mohammed Hasan Kabir,Rent Split,INR,,UPI/574134293241/Mohammed Hasan Kabir/Payment
bank,bank_27,2026-08-06,,353.12,423527993212,Blinkit REFUND,Groceries,INR,,UPI/423527993212/Blinkit REFUND/Payment
bank,bank_28,2026-08-06,,750.53,888534764524,Sneha Kulkarni,Shopping,INR,,UPI/888534764524/Sneha Kulkarni/Payment
bank,bank_29,2026-08-06,,-89.02,579119006758,Rohit Verma,Personal Transfer,INR,,UPI/579119006758/Rohit Verma/Payment
