source,row_id,date,time,amount,transaction_id,merchant,category,currency,payment_method,raw_description
gpay,gpay_0,2026-08-01,13:58,150.82,703754948409,Divya Roomie,,INR,UPI,Received from Divya Roomie
gpay,gpay_1,2026-08-01,09:23,-208.26,476122730029,Local Kirana Store,,INR,UPI,Paid to Local Kirana Store
gpay,gpay_2,2026-08-01,14:56,-2000.62,562428000186,Vikram Landlord,,INR,UPI,Paid to Vikram Landlord
gpay,gpay_3,2026-08-02,19:03,-150.95,822026593455,Sanjay Uncle,,INR,UPI,Paid to Sanjay Uncle
gpay,gpay_4,2026-08-02,13:52,-595.59,356079182669,Blinkit,,INR,UPI,Paid to Blinkit
gpay,gpay_5,2026-08-02,17:46,-685.16,267473328883,Divya Roomie,,INR,Card,Paid to Divya Roomie
gpay,gpay_6,2026-08-02,12:06,45.14,518399561389,Priya,,INR,UPI,Received from Priya
gpay,gpay_7,2026-08-02,13:47,-2821.52,270712558963,Hasan Bhai,,INR,Card,Paid to Hasan Bhai
gpay,gpay_8,2026-08-03,20:54,-99.91,497493333287,Arjun Gym,,INR,GPay Balance,Paid to Arjun Gym
gpay,gpay_9,2026-08-03,18:30,320.38,431388495671,Sanjay Uncle,,INR,UPI,Received from Sanjay Uncle
gpay,gpay_10,2026-08-03,11:21,-89.05,516469066999,Sanjay Uncle,,INR,GPay Balance,Paid to Sanjay Uncle
gpay,gpay_11,2026-08-03,21:11,-750.6,936612415868,Neha,,INR,UPI,Paid to Neha
gpay,gpay_12,2026-08-03,15:51,-272.27,574412464460,Uber,,INR,UPI,Paid to Uber
gpay,gpay_13,2026-08-03,18:38,320.79,813169162910,Deepika Cousin,,INR,UPI,Received from Deepika Cousin
gpay,gpay_14,2026-08-03,08:16,-1219.79,869579181433,Rohit Office,,INR,Card,Paid to Rohit Office
gpay,gpay_15,2026-08-03,09:07,2000.5,528884645551,Ayesha,,INR,UPI,Received from Ayesha
gpay,gpay_16,2026-08-03,11:39,299.99,374911678402,Hasan Bhai,,INR,UPI,Received from Hasan Bhai
gpay,gpay_17,2026-08-03,15:45,45.55,690340809498,Manoj,,INR,UPI,Received from Manoj
gpay,gpay_18,2026-08-04,17:47,-899.48,715300826019,Priya,,INR,GPay Balance,Paid to Priya
gpay,gpay_19,2026-08-04,14:08,-3460.09,747269286719,Divya Roomie,,INR,Card,Paid to Divya Roomie
gpay,gpay_20,2026-08-04,12:41,-3264.0,290183703839,Ayesha,,INR,Card,Paid to Ayesha
gpay,gpay_21,2026-08-04,22:58,-500.34,716370370940,Divya Roomie,,INR,GPay Balance,Paid to Divya Roomie
gpay,gpay_22,2026-08-04,17:26,60.83,378186428250,Arjun Gym,,INR,UPI,Received from Arjun Gym
gpay,gpay_23,2026-08-05,23:14,-1129.13,408642127159,Electricity Board BESCOM,,INR,UPI,Paid to Electricity Board BESCOM
gpay,gpay_24,2026-08-05,07:40,-150.38,597873400285,Divya Roomie,,INR,UPI,Paid to Divya Roomie
gpay,gpay_25,2026-08-06,10:23,-320.05,574134293241,Hasan Bhai,,INR,UPI,Paid to Hasan Bhai
gpay,gpay_26,2026-08-06,07:52,353.12,423527993212,Blinkit,,INR,UPI,Received from Blinkit (Refund)
