date,merchant,tier,reason,amount,transaction_id
2026-08-01,Cheque Clearing,tier_3_exception,Cheque clearing deposit of 75000.00 on 2026-08-01 is a direct bank operation with no UPI record.,-75000.0,
2026-08-01,Mohammed Hasan Kabir,tier_1_exact_id,Matched via exact UPI reference ID,-750.08,315962135605
2026-08-01,Karan Malhotra,tier_1_exact_id,Matched via exact UPI reference ID,-45.08,720426286364
2026-08-01,Amazo nPay,tier_1_exact_id,Matched via exact UPI reference ID,-1591.32,342601659275
2026-08-01,Sanjay Iyer,tier_1_exact_id,Matched via exact UPI reference ID,-75000.0,296302151874
2026-08-02,Arjun Singh Rathore,tier_1_exact_id,Matched via exact UPI reference ID,320.78,989689563902
2026-08-02,Arjun Singh Rathore,tier_1_exact_id,Matched via exact UPI reference ID,-45.19,577497923564
2026-08-03,Blinkit,tier_1_exact_id,Matched via exact UPI reference ID,-979.17,298497425546
2026-08-04,Karan Malhotra,tier_1_exact_id,Matched via exact UPI reference ID,-299.99,522739572552
2026-08-05,Blinkit REFUND,tier_1_exact_id,Matched via exact UPI reference ID,351.17,465328837561
2026-08-05,Sanjay Iyer,tier_1_exact_id,Matched via exact UPI reference ID,-750.41,673549503741
2026-08-05,Mohammed Hasan Kabir,tier_1_exact_id,Matched via exact UPI reference ID,299.55,353867515877
2026-08-06,Mohammed Hasan Kabir,tier_1_exact_id,Matched via exact UPI reference ID,99.4,844829864549
2026-08-06,Netflix,tier_1_exact_id,Matched via exact UPI reference ID,-1114.37,455929490116
2026-08-07,Zomato,tier_1_exact_id,Matched via exact UPI reference ID,-1119.49,232761401343
2026-08-07,Netflix,tier_1_exact_id,Matched via exact UPI reference ID,-1893.46,722776364350
2026-08-07,Arjun Singh Rathore,tier_1_exact_id,Matched via exact UPI reference ID,2000.4,481075427829
2026-08-07,Myntra,tier_1_exact_id,Matched via exact UPI reference ID,-1858.21,346774400818
2026-08-07,Sanjay Iyer,tier_1_exact_id,Matched via exact UPI reference ID,299.27,733079174574
2026-08-09,Zoamto,tier_1_exact_id,Matched via exact UPI reference ID,-1481.23,845591121498
2026-08-10,Divya Nair,tier_1_exact_id,Matched via exact UPI reference ID,-299.51,942814175103
2026-08-10,SANJAY IYE,tier_2_amount_date,Matched via single candidate (date + amount),-3155.79,492852849261
2026-08-11,,tier_3_exception,Bank interest credit of 42.50 on 2026-08-11 is an internal bank entry without a payment app counterpart.,42.5,
2026-08-12,Netflix REFUND,tier_1_exact_id,Matched via exact UPI reference ID,1119.78,380219111779
2026-08-12,Netflix,tier_1_exact_id,Matched via exact UPI reference ID,-2123.97,866424110294
2026-08-12,VIKRAM OBE,tier_2_amount_date,Matched via single candidate (date + amount),-2453.25,356290588092
2026-08-12,Sneha Kulkarni,tier_1_exact_id,Matched via exact UPI reference ID,-320.57,814054955896
2026-08-13,Sneha Kulkarni,tier_1_exact_id,Matched via exact UPI reference ID,-320.18,420678652212
2026-08-13,Sneha Kulkarni,tier_1_exact_id,Matched via exact UPI reference ID,2000.01,492240962809
2026-08-14,AYESHA SID,tier_2_amount_date,Matched via single candidate (date + amount),-1178.43,490531435917
2026-08-14,NEHA CHOPR,tier_2_amount_date,Matched via single candidate (date + amount),-2961.87,960556952299
2026-08-15,BigBasket,tier_1_exact_id,Matched via exact UPI reference ID,-1370.27,794765013885
2026-08-15,Amazon Pay,tier_1_exact_id,Matched via exact UPI reference ID,-2194.69,289723236063
2026-08-15,FATIMA SHE,tier_2_amount_date,Matched via single candidate (date + amount),-1850.9,688188127049
2026-08-15,ARJUN SING,tier_2_amount_date,Matched via single candidate (date + amount),-1274.58,229885860543
2026-08-15,Neha Chopra,tier_1_exact_id,Matched via exact UPI reference ID,-320.34,396110645852
2026-08-15,Rohit Verma,tier_1_exact_id,Matched via exact UPI reference ID,-500.65,540291159942
2026-08-17,ROHIT VERM,tier_3_exception,Found 8 GPay transactions with identical amount -250.00 on 2026-08-17; unable to disambiguate because bank statement lacks time timestamps.,-250.0,
2026-08-17,Mohammed Hasan Kabir,tier_1_exact_id,Matched via exact UPI reference ID,320.46,418614875889
2026-08-17,ROHIT VERM,tier_3_exception,Found 8 GPay transactions with identical amount -250.00 on 2026-08-17; unable to disambiguate because bank statement lacks time timestamps.,-250.0,
2026-08-17,SNEHA KULK,tier_3_exception,Found 8 GPay transactions with identical amount -250.00 on 2026-08-17; unable to disambiguate because bank statement lacks time timestamps.,-250.0,
2026-08-17,BigBasket,tier_1_exact_id,Matched via exact UPI reference ID,-662.97,279720616868
2026-08-17,Myntra,tier_1_exact_id,Matched via exact UPI reference ID,-559.78,454089744397
2026-08-17,Cheque Clearing,tier_3_exception,Cheque clearing deposit of 100000.00 on 2026-08-17 is a direct bank operation with no UPI record.,-100000.0,
2026-08-17,SANJAY IYE,tier_3_exception,Found 8 GPay transactions with identical amount -250.00 on 2026-08-17; unable to disambiguate because bank statement lacks time timestamps.,-250.0,
2026-08-17,NEHA CHOPR,tier_3_exception,Found 8 GPay transactions with identical amount -250.00 on 2026-08-17; unable to disambiguate because bank statement lacks time timestamps.,-250.0,
2026-08-17,BigBakset,tier_1_exact_id,Matched via exact UPI reference ID,-1636.77,432162621292
2026-08-17,ROHIT VERM,tier_3_exception,Found 8 GPay transactions with identical amount -250.00 on 2026-08-17; unable to disambiguate because bank statement lacks time timestamps.,-250.0,
2026-08-17,SNEHA KULK,tier_2_amount_date,Matched via single candidate (date + amount),-3259.61,269765193723
2026-08-17,ARJUN SING,tier_3_exception,Found 8 GPay transactions with identical amount -250.00 on 2026-08-17; unable to disambiguate because bank statement lacks time timestamps.,-250.0,
2026-08-17,Rohit Verma,tier_1_exact_id,Matched via exact UPI reference ID,-100000.0,449411207956
2026-08-17,KARAN MALH,tier_3_exception,Found 8 GPay transactions with identical amount -250.00 on 2026-08-17; unable to disambiguate because bank statement lacks time timestamps.,-250.0,
2026-08-18,SNEHA KULK,tier_2_amount_date,Matched via single candidate (date + amount),-150.22,221792926625
2026-08-18,Zomato,tier_1_exact_id,Matched via exact UPI reference ID,-2914.28,874692106935
2026-08-18,Priya Ramesh Patel,tier_1_exact_id,Matched via exact UPI reference ID,1200.19,329955396656
2026-08-18,Sneha Kulkarni,tier_1_exact_id,Matched via exact UPI reference ID,299.36,990077837768
